"RouteID","RouteType","RouteName","RouteDescription","RouteSegmentSequence","SegmentID","SegmentMapPointSequence","MapPointID"
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,30,51
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,31,52
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,32,53
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,33,54
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,34,55
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,36,56
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,37,57
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,38,58
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,39,59
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,40,60
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,41,61
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,42,62
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,43,63
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,44,64
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,45,65
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,46,66
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,47,67
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,48,68
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,49,69
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,50,70
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,51,71
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,52,72
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,53,73
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,54,74
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,55,75
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,56,76
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,57,77
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,58,78
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",1,8,59,79
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,2,80
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,3,81
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,4,82
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,5,83
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,6,84
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,7,85
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,8,86
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,9,87
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,10,88
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,11,89
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,12,90
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,13,91
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,14,92
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,15,93
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,16,94
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,17,95
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,18,96
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,19,97
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,20,98
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,21,99
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,22,100
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,23,101
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,24,102
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,25,103
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,26,104
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,27,105
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,28,106
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,29,107
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,30,108
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,32,109
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,33,110
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,34,111
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,35,112
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,36,113
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,37,114
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,38,115
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,39,116
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,40,117
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,41,118
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,42,119
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,43,120
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,44,121
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,45,122
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,46,123
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,47,124
9,"1 Day","Babson to Patriot Place to Babson","Babson to Patriot Place to Babson",2,9,48,125
10,"1 Day","Babson to Patriot Place","Babson to Patriot Place",1,8,2,23
10,"1 Day","Babson to Patriot Place","Babson to Patriot Place",1,8,3,24
10,"1 Day","Babson to Patriot Place","Babson to Patriot Place",1,8,4,25
10,"1 Day","Babson to Patriot Place","Babson to Patriot Place",1,8,5,26
10,"1 Day","Babson to Patriot Place","Babson to Patriot Place",1,8,6,27
10,"1 Day","Babson to Patriot Place","Babson to Patriot Place",1,8,7,28
